name,count
Emma,194988
Olivia,184487
Sophia,181091
Isabella,170491
Ava,155802
Mia,129044
Abigail,118690
Emily,117599
Charlotte,102449
Madison,98393
Elizabeth,94025
Amelia,93813
Evelyn,86946
Ella,85886
Chloe,85275
Harper,85168
Avery,82894
Sofia,82376
Grace,73007
Addison,70989
Victoria,70986
Lily,68283
Natalie,68113
Aubrey,65902
Zoey,64934
Lillian,64929
Hannah,64473
Layla,63201
Brooklyn,60299
Scarlett,58260
Zoe,58083
Camila,57884
Samantha,56914
Riley,56129
Leah,56015
Aria,52233
Savannah,51838
Audrey,51598
Anna,51273
Allison,48988
Gabriella,48103
Hailey,47735
Claire,47722
Penelope,47602
Aaliyah,46686
Sarah,46616
Nevaeh,44966
Kaylee,44599
Stella,44208
Mila,44105
Nora,44072
Ellie,43219
Bella,43165
Lucy,42009
Alexa,41993
Arianna,41789
Violet,41560
Ariana,41325
Genesis,40505
Alexis,40387
Eleanor,40118
Maya,39752
Caroline,39623
Peyton,39603
Skylar,39407
Madelyn,39188
Serenity,38858
Kennedy,38583
Taylor,38205
Alyssa,37918
Autumn,37670
Paisley,37556
Ashley,37222
Brianna,36900
Sadie,36566
Naomi,36171
Kylie,36102
Julia,35894
Sophie,35666
Mackenzie,35274
Eva,35197
Gianna,34654
Luna,34162
Katherine,34135
Hazel,33902
Khloe,33809
Ruby,33450
Piper,33081
Melanie,33072
Lydia,32703
Aubree,32635
Madeline,32366
Aurora,32127
Faith,31953
Alexandra,30962
Alice,30620
Kayla,30278
Jasmine,29370
Maria,28957
Annabelle,28935
Lauren,28900
Reagan,28849
Elena,28788
Rylee,28547
Isabelle,28497
Bailey,28293
Eliana,28221
Sydney,28079
Makayla,27854
Cora,27812
Morgan,27631
Natalia,27374
Kimberly,27256
Vivian,27224
Quinn,27220
Valentina,27216
Andrea,27181
Willow,27046
Clara,26648
London,26612
Jade,26536
Liliana,26426
Jocelyn,26351
Trinity,26310
Kinsley,26290
Brielle,26046
Mary,25667
Molly,25549
Hadley,25476
Delilah,24995
Emilia,24339
Josephine,23950
Brooke,23800
Lilly,23489
Ivy,23468
Adeline,23374
Payton,23126
Lyla,22916
Isla,22863
Jordyn,22733
Paige,22607
Isabel,22581
Mariah,22477
Mya,22363
Nicole,22301
Valeria,21388
Destiny,21088
Rachel,21055
Ximena,21020
Emery,20966
Everly,20854
Sara,20718
Angelina,20574
Adalynn,20389
Kendall,20249
Reese,20180
Aliyah,20156
Margaret,20031
Juliana,19997
Melody,19860
Amy,19760
Eden,19704
Mckenzie,19674
Laila,19651
Vanessa,19592
Ariel,19360
Gracie,19082
Valerie,19011
Adalyn,18839
Brooklynn,18813
Gabrielle,18582
Kaitlyn,18351
Athena,18284
Elise,18242
Jessica,18216
Adriana,18177
Leilani,18143
Ryleigh,17874
Daisy,17870
Nova,17820
Norah,17741
Eliza,17713
Rose,17501
Rebecca,17470
Michelle,17349
Alaina,17289
Catherine,17148
Londyn,16993
Summer,16894
Lila,16562
Jayla,16540
Katelyn,16503
Daniela,16348
Harmony,16294
Amaya,16258
Alana,16255
Emerson,16227
Julianna,16180
Cecilia,16145
Izabella,16039
